"","plot_year","spp","cover"
"354","BOB015_2021","DAUPUS",0.26
"355","BOB015_2021","DICVOL",0.96
"356","BOB015_2021","GALPOR",2.6
"357","BOB015_2021","LEPCAL",17.6
"358","BOB015_2021","MADGRA",0.02
"359","BOB015_2021","NEMHET",0.12
"360","BOB015_2021","SANCRA",0.04
"361","BOB015_2021","TOXDIV",1.4
"362","BOB015_2021","TOXFRE",1.8
"363","BOB015_2021","TRILAX",0.8
"364","BOB015_2022","ACMWRA",0.46
"365","BOB015_2022","ADFA",1.2
"366","BOB015_2022","CALAMA",0.1
"367","BOB015_2022","CLAPUR",0.01
"368","BOB015_2022","CYNGRA",6
"369","BOB015_2022","DAUPUS",0.14
"370","BOB015_2022","DICVOL",0.06
"371","BOB015_2022","ERICAL",1
"372","BOB015_2022","FESMIC",0
"373","BOB015_2022","HEAR",1
"374","BOB015_2022","LEPCAL",30.6
"375","BOB015_2022","MADGRA",0.02
"376","BOB015_2022","MARWAT",0.6
"377","BOB015_2022","NEMHET",0.06
"378","BOB015_2022","TOXFRE",0.12
"379","BOB016_2021","AMSMEN",0.52
"380","BOB016_2021","CAROLI",0.06
"381","BOB016_2021","CHLPOM",0.3
"382","BOB016_2021","COLSPA",0.02
"383","BOB016_2021","DAUPUS",0.08
"384","BOB016_2021","DICVOL",1.26
"385","BOB016_2021","EMMPEN",0.12
"386","BOB016_2021","ERICAL",5.64
"387","BOB016_2021","GALPOR",0.06
"388","BOB016_2021","HEAR",1
"389","BOB016_2021","LEPCAL",8.8
"390","BOB016_2021","MARWAT",0.9
"391","BOB016_2021","MIMAUR",0.04
"392","BOB016_2021","NEMHET",0.1
"393","BOB016_2021","RAFCAL",0.16
"394","BOB016_2021","RANHEB",0.7
"395","BOB016_2021","STILEP",0.8
"396","BOB016_2021","THYCUR",0.04
"397","BOB016_2021","TOXDIV",2
"398","BOB016_2021","TOXFRE",0.8
"399","BOB016_2021","TRILAX",1
"400","BOB016_2022","ACMBRA",0.1
"401","BOB016_2022","ACMWRA",0.16
"402","BOB016_2022","ADFA",0.02
"403","BOB016_2022","AMSMEN",1.6
"404","BOB016_2022","CHLPOM",0.04
"405","BOB016_2022","DAUPUS",0.04
"406","BOB016_2022","ERICAL",8.5
"407","BOB016_2022","GALPOR",3
"408","BOB016_2022","LEPCAL",14.8
"409","BOB016_2022","MADGRA",0.15
"410","BOB016_2022","MARWAT",0.8
"411","BOB016_2022","RANHEB",0.02
"412","BOB016_2022","STILEP",0.8
"413","BOB016_2022","THYCUR",0.6
"414","BOB016_2022","TOXDIV",1
"415","BOB016_2022","TOXFRE",0.12
"416","BOB017_2021","ACMGLA",0.12
"417","BOB017_2021","APHOCC",0.2
"418","BOB017_2021","CHLPOM",1.6
"419","BOB017_2021","COLSPA",0.16
"420","BOB017_2021","DAUPUS",0.02
"421","BOB017_2021","ERICAL",12
"422","BOB017_2021","ESCCAE",0.2
"423","BOB017_2021","RAFCAL",0.02
"424","BOB017_2021","SALCOL",0.02
"425","BOB017_2021","SILANT",0.22
"426","BOB017_2022","ACMGLA",5.01
"427","BOB017_2022","ACMWRA",0.4
"428","BOB017_2022","ADFA",3.4
"429","BOB017_2022","CHLPOM",0.01
"430","BOB017_2022","ERICAL",28
"431","BOB017_2022","LEPCAL",0.2
"432","BOB017_2022","SALCOL",0.01
"433","BOB018_2021","ACMGLA",0.06
"434","BOB018_2021","ADFA",6.2
"435","BOB018_2021","CALBRE",0.2
"436","BOB018_2021","DAUPUS",0.16
"437","BOB018_2021","EMMPEN",0.1
"438","BOB018_2021","ERICAL",7.84
"439","BOB018_2021","ERILAN",4.2
"440","BOB018_2021","ESCCAE",1.9
"441","BOB018_2021","NEMHET",0.16
"442","BOB018_2021","RAFCAL",0.02
"443","BOB018_2021","SILANT",0.02
"444","BOB018_2022","ACMGLA",0.01
"445","BOB018_2022","ADFA",13.6
"446","BOB018_2022","ERICAL",6.1
"447","BOB018_2022","ESCCAE",0.06
"448","BOB018_2022","THYCUR",0.01
"449","BOB019_2021","CAROLI",0.4
"450","BOB019_2021","CLAPAR",0.16
"451","BOB019_2021","COLSPA",0.02
"452","BOB019_2021","DICVOL",1
"453","BOB019_2021","DIPCAP",0.2
"454","BOB019_2021","EMMPEN",0.1
"455","BOB019_2021","KOEMAC",1
"456","BOB019_2021","LEPCAL",8.1
"457","BOB019_2021","MADGRA",0.7
"458","BOB019_2021","MARWAT",0.18
"459","BOB019_2021","QUEBER",0.2
"460","BOB019_2021","SYMMOL",0.02
"461","BOB019_2021","TOXDIV",0.6
"462","BOB019_2021","TRILAX",0.3
"463","BOB019_2022","ACMWRA",0.11
"464","BOB019_2022","AMSMEN",0.4
"465","BOB019_2022","CASATT",0.04
"466","BOB019_2022","KOEMAC",1
"467","BOB019_2022","LEPCAL",18.8
"468","BOB019_2022","MADGRA",0.62
"469","BOB019_2022","MARFAB",0.4
"470","BOB019_2022","MARWAT",1
"471","BOB019_2022","SOLXAN",0.06
"472","BOB019_2022","THYCUR",0.04
"473","BOB019_2022","TOXDIV",2.4
"474","BOB019_2022","TOXFRE",0.02
"475","BOB019_2022","TRILAX",0.02
"476","CCC001_2021","ACMGLA",0.06
"477","CCC001_2021","CALPUR",0.42
"478","CCC001_2021","CEAOLI",0.34
"479","CCC001_2021","CLELAS",6.4
"480","CCC001_2021","COLHET",0.02
"481","CCC001_2021","COLSPA",0.24
"482","CCC001_2021","DICVOL",7.1
"483","CCC001_2021","DIPCAP",0.9
"484","CCC001_2021","ERICAL",0.02
"485","CCC001_2021","GALAPA",0.78
"486","CCC001_2021","GALPOR",0.12
"487","CCC001_2021","GITSPE",0.02
"488","CCC001_2021","HEAR",0.04
"489","CCC001_2021","POASEC",0.02
"490","CCC001_2021","PRIHEN",0.14
"491","CCC001_2021","QUWI",0.06
