"","PlotID","year","quad","native.nonnative","shanDiv","X","Location","num_burn","cool.warm_slope","fire_preLNU_year","currentFRI","medianRefFRI","meanPFRID","meanCC_FRI","PFR","Mean_diam_cm","mean_diam_mm"
"89","BOB005","2021","Q5","NATIVE_shanDiv",0.676083137934964,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"90","BOB005","2021","Q5","NONNATIVE_shanDiv",1.1049359034703,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"91","BOB005","2022","Q1","NATIVE_shanDiv",0.52358633748126,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"92","BOB005","2022","Q1","NONNATIVE_shanDiv",1.11921651291592,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"93","BOB005","2022","Q2","NATIVE_shanDiv",0.0186384181703464,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"94","BOB005","2022","Q2","NONNATIVE_shanDiv",0.979296072261126,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"95","BOB005","2022","Q3","NATIVE_shanDiv",0.242476052892022,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"96","BOB005","2022","Q3","NONNATIVE_shanDiv",1.37994128941506,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"97","BOB005","2022","Q4","NATIVE_shanDiv",0.59975219088746,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"98","BOB005","2022","Q4","NONNATIVE_shanDiv",1.18568079040355,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"99","BOB005","2022","Q5","NATIVE_shanDiv",0,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"100","BOB005","2022","Q5","NONNATIVE_shanDiv",1.19166165555942,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"101","BOB006","2021","Q1","NATIVE_shanDiv",0,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"102","BOB006","2021","Q1","NONNATIVE_shanDiv",1.06625443146405,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"103","BOB006","2021","Q2","NATIVE_shanDiv",0,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"104","BOB006","2021","Q2","NONNATIVE_shanDiv",0.78363902619721,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"105","BOB006","2021","Q3","NATIVE_shanDiv",0.0202332278371195,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
