"","PlotID","year","spp","SEEDLING.RESPROUT","num_burn","cool.warm_slope","Lifeform","Native_nonnative","fac.obl","plotid_time","species_type","n_species","n_species_native.non","n_species_lifeform"
"98","QUA001",2021,"ACMGLA","",2,"warm","SH","native","OBL-S","QUA001 2 warm 2021","ACMGLA_",26,17,6
"99","QUA002",2021,"ACMGLA","SEEDLING",2,"warm","SH","native","OBL-S","QUA002 2 warm 2021","ACMGLA_SEEDLING",27,23,7
"100","QUA002",2022,"ACMGLA","SEEDLING",2,"warm","SH","native","OBL-S","QUA002 2 warm 2022","ACMGLA_SEEDLING",24,14,6
"101","QUA003",2021,"ACMGLA","SEEDLING",2,"warm","SH","native","OBL-S","QUA003 2 warm 2021","ACMGLA_SEEDLING",24,16,4
"102","QUA003",2022,"ACMGLA","SEEDLING",2,"warm","SH","native","OBL-S","QUA003 2 warm 2022","ACMGLA_SEEDLING",25,17,4
"103","QUA004",2021,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA004 1 warm 2021","ACMGLA_SEEDLING",28,21,5
"104","QUA004",2022,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA004 1 warm 2022","ACMGLA_SEEDLING",38,24,5
"105","QUA005",2021,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA005 1 warm 2021","ACMGLA_SEEDLING",26,20,7
"106","QUA005",2022,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA005 1 warm 2022","ACMGLA_SEEDLING",29,21,5
"107","QUA006",2021,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA006 1 warm 2021","ACMGLA_SEEDLING",23,17,6
"108","QUA006",2022,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA006 1 warm 2022","ACMGLA_SEEDLING",37,23,7
"109","QUA008",2021,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA008 1 warm 2021","ACMGLA_SEEDLING",25,18,6
"110","QUA008",2022,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA008 1 warm 2022","ACMGLA_SEEDLING",34,23,5
"111","QUA009",2021,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA009 1 warm 2021","ACMGLA_SEEDLING",21,13,4
"112","QUA009",2022,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA009 1 warm 2022","ACMGLA_SEEDLING",18,11,3
"113","QUA010",2021,"ACMGLA","SEEDLING",2,"cool","SH","native","OBL-S","QUA010 2 cool 2021","ACMGLA_SEEDLING",27,17,6
"114","QUA010",2022,"ACMGLA","SEEDLING",2,"cool","SH","native","OBL-S","QUA010 2 cool 2022","ACMGLA_SEEDLING",23,15,5
"115","QUA011",2021,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA011 1 warm 2021","ACMGLA_SEEDLING",24,17,6
"116","QUA011",2022,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","QUA011 1 warm 2022","ACMGLA_SEEDLING",32,21,6
"117","QUA015",2021,"ACMGLA","SEEDLING",1,"cool","SH","native","OBL-S","QUA015 1 cool 2021","ACMGLA_SEEDLING",44,30,8
"118","QUA015",2022,"ACMGLA","SEEDLING",1,"cool","SH","native","OBL-S","QUA015 1 cool 2022","ACMGLA_SEEDLING",41,28,10
"119","QUA016",2021,"ACMGLA","SEEDLING",1,"cool","SH","native","OBL-S","QUA016 1 cool 2021","ACMGLA_SEEDLING",48,35,8
"120","QUA016",2022,"ACMGLA","SEEDLING",1,"cool","SH","native","OBL-S","QUA016 1 cool 2022","ACMGLA_SEEDLING",50,32,8
"121","QUA020",2021,"ACMGLA","SEEDLING",1,"cool","SH","native","OBL-S","QUA020 1 cool 2021","ACMGLA_SEEDLING",39,27,8
"122","QUA020",2022,"ACMGLA","SEEDLING",1,"cool","SH","native","OBL-S","QUA020 1 cool 2022","ACMGLA_SEEDLING",47,31,8
"123","QUA024",2022,"ACMGLA","SEEDLING",2,"cool","SH","native","OBL-S","QUA024 2 cool 2022","ACMGLA_SEEDLING",47,32,7
"124","QUA025",2022,"ACMGLA","SEEDLING",2,"cool","SH","native","OBL-S","QUA025 2 cool 2022","ACMGLA_SEEDLING",28,18,7
"125","QUA025",2022,"ACMGLA","SEEDLING",2,"cool","SH","native","OBL-S","QUA025 2 cool 2022","ACMGLA_SEEDLING",28,18,7
"126","QUA025",2022,"ACMGLA","SEEDLING",2,"cool","SH","native","OBL-S","QUA025 2 cool 2022","ACMGLA_SEEDLING",28,18,7
"127","BOB001",2021,"ACMWRA","",5,"cool","FB","native","","BOB001 5 cool 2021","ACMWRA_",26,16,18
"128","BOB001",2022,"ACMWRA","",5,"cool","FB","native","","BOB001 5 cool 2022","ACMWRA_",25,16,19
"129","BOB002",2022,"ACMWRA","",5,"cool","FB","native","","BOB002 5 cool 2022","ACMWRA_",42,29,34
"130","BOB002",2021,"ACMWRA","",5,"cool","FB","native","","BOB002 5 cool 2021","ACMWRA_",39,24,30
"131","BOB003",2021,"ACMWRA","",5,"cool","FB","native","","BOB003 5 cool 2021","ACMWRA_",34,23,25
"132","BOB003",2022,"ACMWRA","",5,"cool","FB","native","","BOB003 5 cool 2022","ACMWRA_",38,25,29
"133","BOB004",2021,"ACMWRA","",5,"warm","FB","native","","BOB004 5 warm 2021","ACMWRA_",25,14,18
"134","BOB005",2021,"ACMWRA","",5,"warm","FB","native","","BOB005 5 warm 2021","ACMWRA_",16,9,10
"135","BOB006",2021,"ACMWRA","",5,"warm","FB","native","","BOB006 5 warm 2021","ACMWRA_",23,12,15
"136","BOB006",2022,"ACMWRA","",5,"warm","FB","native","","BOB006 5 warm 2022","ACMWRA_",20,11,13
"137","BOB008",2021,"ACMWRA","",3,"cool","FB","native","","BOB008 3 cool 2021","ACMWRA_",37,25,24
"138","BOB008",2022,"ACMWRA","",3,"cool","FB","native","","BOB008 3 cool 2022","ACMWRA_",45,33,31
"139","BOB009",2021,"ACMWRA","",3,"warm","FB","native","","BOB009 3 warm 2021","ACMWRA_",34,19,26
"140","BOB010",2021,"ACMWRA","",3,"warm","FB","native","","BOB010 3 warm 2021","ACMWRA_",27,15,16
"141","BOB011",2021,"ACMWRA","",4,"warm","FB","native","","BOB011 4 warm 2021","ACMWRA_",26,13,20
"142","BOB012",2021,"ACMWRA","",4,"warm","FB","native","","BOB012 4 warm 2021","ACMWRA_",35,25,24
"143","BOB012",2022,"ACMWRA","",4,"warm","FB","native","","BOB012 4 warm 2022","ACMWRA_",30,20,21
"144","BOB013",2021,"ACMWRA","",4,"cool","FB","native","","BOB013 4 cool 2021","ACMWRA_",51,39,36
"145","BOB013",2022,"ACMWRA","",4,"cool","FB","native","","BOB013 4 cool 2022","ACMWRA_",52,40,41
"146","BOB014",2022,"ACMWRA","",4,"cool","FB","native","","BOB014 4 cool 2022","ACMWRA_",44,30,31
"147","BOB015",2021,"ACMWRA","",4,"cool","FB","native","","BOB015 4 cool 2021","ACMWRA_",54,40,37
"148","BOB015",2022,"ACMWRA","",4,"cool","FB","native","","BOB015 4 cool 2022","ACMWRA_",42,27,28
"149","BOB016",2022,"ACMWRA","",4,"cool","FB","native","","BOB016 4 cool 2022","ACMWRA_",41,27,27
"150","BOB017",2021,"ACMWRA","",4,"warm","FB","native","","BOB017 4 warm 2021","ACMWRA_",38,26,28
"151","BOB017",2022,"ACMWRA","",4,"warm","FB","native","","BOB017 4 warm 2022","ACMWRA_",24,15,15
"152","BOB019",2022,"ACMWRA","",5,"cool","FB","native","","BOB019 5 cool 2022","ACMWRA_",43,25,31
"153","CCC003",2021,"ACMWRA","",1,"warm","FB","native","","CCC003 1 warm 2021","ACMWRA_",18,16,11
"154","CCC003",2022,"ACMWRA","",1,"warm","FB","native","","CCC003 1 warm 2022","ACMWRA_",32,17,19
"155","CCC005",2021,"ACMWRA","",1,"warm","FB","native","","CCC005 1 warm 2021","ACMWRA_",28,23,20
"156","CCC005",2022,"ACMWRA","",1,"warm","FB","native","","CCC005 1 warm 2022","ACMWRA_",43,28,32
"157","CCC006",2021,"ACMWRA","",1,"warm","FB","native","","CCC006 1 warm 2021","ACMWRA_",14,13,7
"158","CCC006",2022,"ACMWRA","",1,"warm","FB","native","","CCC006 1 warm 2022","ACMWRA_",28,18,20
"159","CCC007",2021,"ACMWRA","",7,"warm","FB","native","","CCC007 7 warm 2021","ACMWRA_",40,31,29
"160","CCC007",2022,"ACMWRA","",7,"warm","FB","native","","CCC007 7 warm 2022","ACMWRA_",41,32,29
"161","CCC008",2021,"ACMWRA","",7,"warm","FB","native","","CCC008 7 warm 2021","ACMWRA_",41,32,30
"162","CCC008",2022,"ACMWRA","",7,"warm","FB","native","","CCC008 7 warm 2022","ACMWRA_",46,35,33
"163","CCC009",2021,"ACMWRA","",7,"warm","FB","native","","CCC009 7 warm 2021","ACMWRA_",29,22,23
"164","CCC009",2022,"ACMWRA","",7,"warm","FB","native","","CCC009 7 warm 2022","ACMWRA_",34,24,27
"165","CCC011",2021,"ACMWRA","",7,"cool","FB","native","","CCC011 7 cool 2021","ACMWRA_",50,40,38
"166","CCC011",2022,"ACMWRA","",7,"cool","FB","native","","CCC011 7 cool 2022","ACMWRA_",49,40,36
"167","COL007",2022,"ACMWRA","",3,"warm","FB","native","","COL007 3 warm 2022","ACMWRA_",41,32,26
"168","COL017",2021,"ACMWRA","",3,"cool","FB","native","","COL017 3 cool 2021","ACMWRA_",49,36,32
"169","COL017",2022,"ACMWRA","",3,"cool","FB","native","","COL017 3 cool 2022","ACMWRA_",52,38,35
"170","COL018",2021,"ACMWRA","",3,"warm","FB","native","","COL018 3 warm 2021","ACMWRA_",28,18,20
"171","COL018",2022,"ACMWRA","",3,"warm","FB","native","","COL018 3 warm 2022","ACMWRA_",27,18,15
"172","QUA001",2021,"ACMWRA","",2,"warm","FB","native","","QUA001 2 warm 2021","ACMWRA_",26,17,17
"173","QUA002",2021,"ACMWRA","",2,"warm","FB","native","","QUA002 2 warm 2021","ACMWRA_",27,23,18
"174","QUA005",2022,"ACMWRA","",1,"warm","FB","native","","QUA005 1 warm 2022","ACMWRA_",29,21,22
"175","QUA008",2021,"ACMWRA","",1,"warm","FB","native","","QUA008 1 warm 2021","ACMWRA_",25,18,18
"176","COL007",2021,"ACMWRA ","",3,"warm",NA,NA,NA,"COL007 3 warm 2021","ACMWRA _",45,3,3
"177","QUA010",2021,"ACMWRA ","",2,"cool",NA,NA,NA,"QUA010 2 cool 2021","ACMWRA _",27,2,2
"178","BOB001",2021,"ADFA","",5,"cool","SH","native","FAC","BOB001 5 cool 2021","ADFA_",26,16,5
"179","BOB002",2021,"ADFA","RESPROUT",5,"cool","SH","native","FAC","BOB002 5 cool 2021","ADFA_RESPROUT",39,24,3
"180","BOB002",2022,"ADFA","RESPROUT",5,"cool","SH","native","FAC","BOB002 5 cool 2022","ADFA_RESPROUT",42,29,5
"181","BOB003",2021,"ADFA","RESPROUT",5,"cool","SH","native","FAC","BOB003 5 cool 2021","ADFA_RESPROUT",34,23,5
"182","BOB003",2022,"ADFA","RESPROUT",5,"cool","SH","native","FAC","BOB003 5 cool 2022","ADFA_RESPROUT",38,25,5
"183","BOB004",2021,"ADFA","",5,"warm","SH","native","FAC","BOB004 5 warm 2021","ADFA_",25,14,3
"184","BOB004",2022,"ADFA","RESPROUT",5,"warm","SH","native","FAC","BOB004 5 warm 2022","ADFA_RESPROUT",25,15,4
"185","BOB004",2022,"ADFA","SEEDLING",5,"warm","SH","native","FAC","BOB004 5 warm 2022","ADFA_SEEDLING",25,15,4
"186","BOB005",2021,"ADFA","RESPROUT",5,"warm","SH","native","FAC","BOB005 5 warm 2021","ADFA_RESPROUT",16,9,4
"187","BOB005",2022,"ADFA","RESPROUT",5,"warm","SH","native","FAC","BOB005 5 warm 2022","ADFA_RESPROUT",17,9,3
"188","BOB006",2021,"ADFA","RESPROUT",5,"warm","SH","native","FAC","BOB006 5 warm 2021","ADFA_RESPROUT",23,12,4
"189","BOB006",2022,"ADFA","RESPROUT",5,"warm","SH","native","FAC","BOB006 5 warm 2022","ADFA_RESPROUT",20,11,4
"190","BOB007",2021,"ADFA","RESPROUT",3,"cool","SH","native","FAC","BOB007 3 cool 2021","ADFA_RESPROUT",50,34,5
"191","BOB007",2022,"ADFA","RESPROUT",3,"cool","SH","native","FAC","BOB007 3 cool 2022","ADFA_RESPROUT",51,35,8
"192","BOB008",2021,"ADFA","RESPROUT",3,"cool","SH","native","FAC","BOB008 3 cool 2021","ADFA_RESPROUT",37,25,3
"193","BOB008",2022,"ADFA","RESPROUT",3,"cool","SH","native","FAC","BOB008 3 cool 2022","ADFA_RESPROUT",45,33,7
"194","BOB009",2021,"ADFA","RESPROUT",3,"warm","SH","native","FAC","BOB009 3 warm 2021","ADFA_RESPROUT",34,19,3
"195","BOB009",2022,"ADFA","RESPROUT",3,"warm","SH","native","FAC","BOB009 3 warm 2022","ADFA_RESPROUT",24,13,5
"196","BOB010",2021,"ADFA","RESPROUT",3,"warm","SH","native","FAC","BOB010 3 warm 2021","ADFA_RESPROUT",27,15,4
"197","BOB010",2022,"ADFA","RESPROUT",3,"warm","SH","native","FAC","BOB010 3 warm 2022","ADFA_RESPROUT",23,14,6
"198","BOB010",2022,"ADFA","SEEDLING",3,"warm","SH","native","FAC","BOB010 3 warm 2022","ADFA_SEEDLING",23,14,6
"199","BOB011",2021,"ADFA","RESPROUT",4,"warm","SH","native","FAC","BOB011 4 warm 2021","ADFA_RESPROUT",26,13,2
"200","BOB011",2022,"ADFA","RESPROUT",4,"warm","SH","native","FAC","BOB011 4 warm 2022","ADFA_RESPROUT",20,11,2
"201","BOB012",2021,"ADFA","RESPROUT",4,"warm","SH","native","FAC","BOB012 4 warm 2021","ADFA_RESPROUT",35,25,5
"202","BOB012",2022,"ADFA","RESPROUT",4,"warm","SH","native","FAC","BOB012 4 warm 2022","ADFA_RESPROUT",30,20,6
"203","BOB013",2022,"ADFA","RESPROUT",4,"cool","SH","native","FAC","BOB013 4 cool 2022","ADFA_RESPROUT",52,40,5
"204","BOB014",2022,"ADFA","RESPROUT",4,"cool","SH","native","FAC","BOB014 4 cool 2022","ADFA_RESPROUT",44,30,9
