"","plot_yr_quad","AIRCAR","LYSARV","AVEBAR","BRADIS","BRODIA","BROHOR","BROMAD","CARPYC","CENMEL","CERGLO","EROBOT","EROCIC","EROMOS","FESBRO","FESMYU","GALMUR","GALPAR","GASPHL","GERDIS","GERMOL","HYPGLA","LACSER","LOGGAL","MEDPOL","SENVUL","SILGAL","SILMAR","SONASP","SONOLE","STEMED","TORARV","TORNOD","TRIHIR"
"69","QUA006_2022 Q4",0,0.1,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4
"70","QUA006_2022 Q5",0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","QUA008_2021 Q1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","QUA008_2021 Q2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","QUA008_2021 Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","QUA008_2021 Q4",0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","QUA008_2021 Q5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","QUA008_2022 Q1",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","QUA008_2022 Q2",0,3,0,0,0,0,0,0,6,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","QUA008_2022 Q3",0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","QUA008_2022 Q4",0,0,100,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","QUA008_2022 Q5",0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","QUA010_2021 Q1",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","QUA010_2021 Q2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","QUA010_2021 Q3",0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","QUA010_2021 Q4",0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","QUA010_2021 Q5",0,0,5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","QUA011_2022 Q1",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"87","QUA011_2022 Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"88","QUA011_2022 Q3",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
"89","QUA011_2022 Q4",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
"90","QUA011_2022 Q5",0,0,0,0,0,0,2,0,5,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0
"91","QUA015_2021 Q1",0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","QUA015_2021 Q2",0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"93","QUA015_2021 Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","QUA015_2021 Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","QUA015_2021 Q5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","QUA015_2022 Q1",0,0.1,0,0,0,0,5,0,0,0,0,4.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"97","QUA015_2022 Q2",0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","QUA015_2022 Q3",0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0.1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"99","QUA015_2022 Q4",0,0,0,0,0,0,20,0,3,0,0,50,0,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"100","QUA015_2022 Q5",0,0,0,0,0,0,40,0,2.5,0.5,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","QUA016_2021 Q1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","QUA016_2021 Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","QUA016_2021 Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","QUA016_2021 Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","QUA016_2021 Q5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","BOB001_2021 Q1",0,0,0.5,0,0,0.1,0,0,0.5,0,0,10,0,0,11,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"107","BOB001_2021 Q2",0,0,5,0,0,0,0.2,0,2,0,0,11,0,0,3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"108","BOB001_2021 Q3",0,0,1,0,0,0,1,0,2.5,0,0,20,0,0,19,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"109","BOB001_2021 Q4",0,0,8,0,0,0.1,0.2,0,1.8,0,0.2,18,0,0,14,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
"110","BOB001_2021 Q5",0,0,3,0,0,0,0.1,0,0.4,0,0,12,0,0,8,0,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0
"111","BOB001_2022 Q1",0,0,0,0,0,0,0,0,0,0,0,40,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"112","BOB001_2022 Q2",0,0,5,0,0,0,0,0,0,0,0,35,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
