PlotID,spp,year,sum.count.5m2,presence
BOB016,CEACUN,2022,0,0
BOB016,CEAOLI,2021,0,0
BOB016,CEAOLI,2022,0,0
BOB016,CERBET,2021,0,0
BOB016,CERBET,2022,0,0
BOB016,ERICAL,2021,1,1
BOB016,ERICAL,2022,2,2
BOB016,ERINUD,2021,0,0
BOB016,ERINUD,2022,0,0
BOB016,HEAR,2021,0,0
BOB016,HEAR,2022,0,0
BOB016,HOLDIS,2021,0,0
BOB016,HOLDIS,2022,0,0
BOB016,LEPCAL,2021,0,0
BOB016,LEPCAL,2022,0,0
BOB016,MIMAUR,2021,0,0
BOB016,MIMAUR,2022,0,0
BOB016,QUEBER,2021,0,0
BOB016,QUEBER,2022,0,0
BOB016,RHAILI,2021,0,0
BOB016,RHAILI,2022,0,0
BOB016,RIBMAL,2021,0,0
BOB016,RIBMAL,2022,0,0
BOB016,SYMALB,2021,0,0
BOB016,SYMALB,2022,0,0
BOB016,SYMMOL,2021,0,0
BOB016,SYMMOL,2022,0,0
BOB016,TOXDIV,2021,0,0
BOB016,TOXDIV,2022,0,0
COL013,ADFA,2021,0,0
COL013,ADFA,2022,0,0
COL013,ARCMAN,2021,0,0
COL013,ARCMAN,2022,0,0
COL013,CEACUN,2021,0,0
COL013,CEACUN,2022,0,0
COL013,CEAOLI,2021,0,0
COL013,CEAOLI,2022,0,0
COL013,CERBET,2021,0,0
COL013,CERBET,2022,0,0
COL013,ERICAL,2021,4,1
COL013,ERICAL,2022,6,2
COL013,ERINUD,2021,0,0
COL013,ERINUD,2022,0,0
COL013,HEAR,2021,0,0
COL013,HEAR,2022,0,0
COL013,HOLDIS,2021,0,0
COL013,HOLDIS,2022,0,0
COL013,LEPCAL,2021,0,0
COL013,LEPCAL,2022,0,0
COL013,MIMAUR,2021,0,0
COL013,MIMAUR,2022,0,0
COL013,QUEBER,2021,0,0
COL013,QUEBER,2022,0,0
COL013,RHAILI,2021,0,0
COL013,RHAILI,2022,0,0
COL013,RIBMAL,2021,0,0
COL013,RIBMAL,2022,0,0
COL013,SYMALB,2021,0,0
COL013,SYMALB,2022,0,0
COL013,SYMMOL,2021,0,0
COL013,SYMMOL,2022,0,0
COL013,TOXDIV,2021,0,0
COL013,TOXDIV,2022,0,0
QUA002,ADFA,2021,0,0
QUA002,ADFA,2022,0,0
QUA002,ARCMAN,2021,0,0
QUA002,ARCMAN,2022,0,0
QUA002,CEACUN,2021,0,0
QUA002,CEACUN,2022,0,0
QUA002,CEAOLI,2021,0,0
QUA002,CEAOLI,2022,0,0
QUA002,CERBET,2021,0,0
QUA002,CERBET,2022,0,0
QUA002,ERICAL,2021,5,3
QUA002,ERICAL,2022,4,3
QUA002,ERINUD,2021,0,0
QUA002,ERINUD,2022,0,0
QUA002,HEAR,2021,0,0
QUA002,HEAR,2022,0,0
QUA002,HOLDIS,2021,0,0
QUA002,HOLDIS,2022,0,0
QUA002,LEPCAL,2021,0,0
QUA002,LEPCAL,2022,7,1
QUA002,MIMAUR,2021,0,0
QUA002,MIMAUR,2022,0,0
QUA002,QUEBER,2021,0,0
QUA002,QUEBER,2022,0,0
QUA002,RHAILI,2021,0,0
QUA002,RHAILI,2022,0,0
QUA002,RIBMAL,2021,0,0
QUA002,RIBMAL,2022,0,0
QUA002,SYMALB,2021,0,0
QUA002,SYMALB,2022,0,0
QUA002,SYMMOL,2021,0,0
QUA002,SYMMOL,2022,0,0
QUA002,TOXDIV,2021,0,0
QUA002,TOXDIV,2022,0,0
QUA003,ADFA,2021,2,2
QUA003,ADFA,2022,0,0
