id,old_id,code.x,area_cm2,fresh_wt_g,dry_wt_g,sla_cm2_g,lwc,code.y,Sample.number,Species.code,ecotype,X.N,X.C,C.N,NotesOnChanges,HtcmMn,HtcmSD,HtcmCV,ID.1,spines,ToughMn,ToughSD,ToughCV,WdDens10Mn,WdDens10SD,WdDens10CV
arctostaphylos_canescens_ssp_canescens_s,arctostaphylos_canescens_ssp_canescens_s,arccanc_s,42.584,1.831,0.847,50.27626919,0.537411251,arccanc_s,732,ARCCANC-S,S,0.87,51.3,58.96551724,,98.4,12.51843086,0.127219826,NA,NA,397,81.58839787,0.205512337,0.5534616,0.028973447,0.052349516
arctostaphylos_canescens_ssp_sonomensis_s,arctostaphylos_canescens_ssp_sonomensis_s,arccans_s,47.813,2.152,1.0635,44.95815703,0.50580855,arccans_s,733,ARCCANS-S,S,0.96,50.47,52.57291667,,132.2,29.98444041,0.226811198,NA,NA,328,41.97883064,0.12798424,0.587210337,0.082761612,0.140940319
arctostaphylos_columbiana_n,arctostaphylos_columbiana_n,arccol_n,93.438,2.9662,1.2977,72.00277414,0.562504214,arccol_n,734,ARCCOL-N,N,1.08,52.59,48.69444444,,227,58.12821078,0.256071413,NA,NA,260.9,37.83722447,0.145025774,0.599205012,0.106653297,0.17799133
arctostaphylos_glandulosa_n,arctostaphylos_glandulosus_n,arcglan_n,51.157,2.9481,1.5927,32.119671,0.45975374,arcglan_n,735,ARCGLAN-N,N,0.64,51.88,81.0625,,152.4,49.04465086,0.321815294,NA,NA,471,100.2718527,0.212891407,0.639207466,0.15492005,0.242362705
arctostaphylos_glandulosa_s,arctostaphylos_glandulosus_s,arcglan_s,33.949,2.1039,0.9892,34.31965224,0.529825562,NA,NA,NA,NA,NA,NA,NA,NA,132.5,40.29405801,0.304106098,NA,NA,493.1111111,37.10944773,0.075255753,0.740759153,0.087822047,0.118556816
arctostaphylos_glauca_n,arctostaphylos_glauca_n,arcglau_n,66.081,2.8471,1.2495,52.88595438,0.56113238,arcglau_n,737,ARCGLAU-N,N,0.91,51.65,56.75824176,,225,70.74995092,0.314444226,NA,NA,354,53.16640543,0.150187586,0.748790694,0.332132149,0.443558062
arctostaphylos_glauca_s,arctostaphylos_glauca_s,arcglau_s,74.371,4.333,2.1001,35.41307557,0.515324256,arcglau_s,738,ARCGLAU-S,S,0.72,51.16,71.05555556,,202,85.21867297,0.421874619,NA,NA,373.1,87.24352889,0.23383417,0.693717423,0.179036298,0.258082458
arctostaphylos_hispidula_s,arctostaphylos_hispidula_s,archis_s,19.637,0.809,0.446,44.02914798,0.448702101,archis_s,739,ARCHIS-S,S,0.84,54.44,64.80952381,,89.9,40.31115092,0.448399899,NA,NA,370.5,37.67182855,0.10167835,0.622343881,0.057494113,0.09238319
arctostaphylos_hookeri_ssp_montana_s,arctostaphylos_hookeri_ssp_montana_s,archoo_s,22.136,1.1755,0.6447,34.33534978,0.451552531,archoo_s,740,ARCHOO-S,S,0.61,52.37,85.85245902,,42.6,8.422192905,0.197704059,NA,NA,528,110.6094229,0.209487543,0.684381606,0.078864374,0.115234502
arctostaphylos_klamathensis_s,arctostaphylos_klamathensis_s,arckla_s,20.942,0.6979,0.3171,66.04225796,0.545636911,arckla_s,741,ARCKLA-S,S,1.13,49.97,44.22123894,,27.4,6.275171534,0.229020859,NA,NA,305,50.39620797,0.165233469,0.732841724,0.311089374,0.424497355
arctostaphylos_manzanita_var_manzanita_n,arctostaphylos_manzanita_var_manzanita_n,arcman_n,69.014,4.4263,2.3084,29.89689828,0.478480898,arcman_n,742,ARCMAN-N,N,0.68,50.94,74.91176471,,231.5,39.5846491,0.170992005,NA,NA,552,78.3111204,0.141867972,0.764869803,0.082323556,0.107630809
arctostaphylos_manzanita_var_manzanita_s,arctostaphylos_manzanita_var_manzanita_s,arcman_s,72.297,3.2241,1.5122,47.80915223,0.530969883,arcman_s,743,ARCMAN-S,S,0.81,51,62.96296296,,114.8,59.65232602,0.519619565,NA,NA,404.5,55.19913445,0.136462632,0.788574011,0.242538473,0.307565897
