NewID	tjm1ID	family	mrt	Exotic/Native	RnA	RnA.original	RnA.source	RnA.notes	genus	Column 2
7110	7112	Liliaceae	Allium_amplectens	Native	NTm	NTm	T4.gen		Allium	Asparagales
7111	7113	Liliaceae	Allium_anceps	Native	NTm	NTm	T4.gen		Allium	Asparagales
7112	7114	Liliaceae	Allium_atrorubens	Native	NTm	NTm	T4.gen		Allium	Asparagales
7113	7115	Liliaceae	Allium_atrorubens_atrorubens	Native	NTm	NTm	T4.gen		Allium	Asparagales
7114	7116	Liliaceae	Allium_atrorubens_cristatum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7115	7117	Liliaceae	Allium_bisceptrum_bisceptrum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7116	7118	Liliaceae	Allium_bolanderi	Native	NTm	NTm	T4.gen		Allium	Asparagales
7117	7119	Liliaceae	Allium_bolanderi_bolanderi	Native	NTm	NTm	T4.gen		Allium	Asparagales
7118	7120	Liliaceae	Allium_bolanderi_mirabile	Native	NTm	NTm	T4.gen		Allium	Asparagales
7119	7121	Liliaceae	Allium_burlewii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7120	7122	Liliaceae	Allium_campanulatum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7121	7123	Liliaceae	Allium_cratericola	Native	NTm	NTm	T4.gen		Allium	Asparagales
8235	NA	Liliaceae	Allium_crenulatum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7122	7124	Liliaceae	Allium_crispum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7123	7125	Liliaceae	Allium_denticulatum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7124	7126	Liliaceae	Allium_diabloense	Native	NTm	NTm	T4.gen		Allium	Asparagales
7125	7127	Liliaceae	Allium_dichlamydeum	Native	NTm	NTm	T4.gen		Allium	Asparagales
8212	NA	Liliaceae	Allium_eurotophilum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7126	7128	Liliaceae	Allium_falcifolium	Native	NTm	NTm	T4.gen		Allium	Asparagales
8236	NA	Liliaceae	Allium_fibrillum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7127	7129	Liliaceae	Allium_fimbriatum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7128	7130	Liliaceae	Allium_fimbriatum_fimbriatum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7129	7131	Liliaceae	Allium_fimbriatum_mohavense	Native	NTm	NTm	T4.gen		Allium	Asparagales
7130	7132	Liliaceae	Allium_fimbriatum_purdyi	Native	NTm	NTm	T4.gen		Allium	Asparagales
7131	7133	Liliaceae	Allium_haematochiton	Native	NTm	NTm	T4.gen		Allium	Asparagales
7132	7134	Liliaceae	Allium_hickmanii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7133	7135	Liliaceae	Allium_hoffmanii	Native	NTm	NTm	T4.gen		Allium	Asparagales
