PlotID,Species,Status (D/L),Prefire Height (m),Postfire Height (m),diam_largest_stem (cm)
CCC011,ADFA,L,1.25,0.45,1.1
CCC011,ADFA,L,1.4,0.44,2.3
CCC011,ADFA,L,1.4,0.42,1.5
CCC011,ADFA,L,1,0.45,1.2
CCC011,ADFA,L,1.4,0.47,1.7
CCC011,ERICAL,L,0.7,0.25,0.8
CCC011,CERBET,L,2,2,1.8
CCC011,CERBET,L,2,2,2.1
CCC011,ADFA,L,1.5,0.57,1.2
CCC011,QUEBER,L,2.8,0.62,3.4
CCC011,QUEBER,L,3.5,0.63,3.8
CCC011,ERICAL,L,2.3,0.34,2.8
CCC011,QUEBER,L,1.5,0.44,2.2
CCC011,CERBET,L,1.6,0.44,1.8
CCC012,QUERCUS,L,0.56,0.07,1.1
CCC012,CERBET,L,1.5,0.63,1.8
CCC012,ERICAL,L,2,0.57,2.3
CCC012,ERICAL,D,1.2,,1.6
CCC012,CERBET,L,1.1,0.5,2
CCC012,CERBET,L,0.3,0.2,1.3
CCC012,CERBET,L,2,0.52,2.3
CCC012,CERBET,L,2,0.4,2.4
CCC012,ERICAL,L,2.5,0.58,3.8
CCC012,CERBET,L,3.15,0.35,3.2
CCC012,QUERCUS,L,4.9,0.77,10
CCC012,CERBET,D,1.1,,2.4
CCC012,QUERCUS,L,0.57,0.07,1.1
CCC012,CERBET,L,1.9,0.35,1
CCC012,CERBET,L,3,0.44,1.8
CCC012,CERBET,L,2.2,0.12,2.5
CCC012,CERBET,L,3.5,0.45,2.3
CCC012,CERBET,L,2.5,0.57,2.8
CCC012,CERBET,D,1.6,,3
CCC012,CERBET,L,1.75,0.45,2.3
